alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.171877816344,-0.062136820963,0.00597960212856,1
0.001953125,0.426472657413,-0.25018628643,0.0181515734621,2
0.0009765625,0.503306789234,-0.458325377205,0.0252854683293,2
0.00048828125,0.566949803204,-0.303983155395,0.0380578450389,19
0.000244140625,0.66811253015,-0.032580573749,0.0809952868148,33
0.0001220703125,0.739058205343,0.214079333986,0.132900549641,44
6.103515625e-05,0.773297148674,0.312255064536,0.189392287072,74
3.0517578125e-05,0.820309226174,0.480225488626,0.338468672736,123
1.52587890625e-05,0.849750699208,0.529391992533,0.524857802695,183
7.62939453125e-06,0.869324135777,0.452405036486,0.788196724327,287
3.81469726562e-06,0.88465729795,0.252603970733,1.25451754166,411
