192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/kb/linear-general-reward-without-normalisation/decay-1.000000-ridge-2.000000-benefit-tanh_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-03T21_18_36.430105Z,7.949s,7.904s,7.876s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/kb/linear-general-reward-without-normalisation/decay-1.000000-ridge-2.000000-benefit-tanh_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-03T21_18_36.430105Z,7.97s,7.902s,7.893s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/kb/linear-general-reward-without-normalisation/decay-1.000000-ridge-2.000000-benefit-tanh_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-03T21_18_36.430105Z,7.97s,7.879s,7.893s
