alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.0078125,0.126842084876,-0.0405158356141,0.208817619449,2
0.00390625,0.431515573032,-0.26661965056,0.863284965681,2
0.001953125,0.517721184505,-0.507315561502,1.22895281118,2
0.0009765625,0.570497240094,-0.474665874985,1.70647679049,14
0.00048828125,0.604054570636,-0.401546633044,2.3027531745,31
0.000244140625,0.638894421504,-0.297175538547,3.70569352254,65
0.0001220703125,0.737076410825,0.10203650027,11.0170898979,75
6.103515625e-05,0.773067198113,0.246281790454,15.9601446831,93
3.0517578125e-05,0.810417145752,0.403041633057,26.54060699,115
1.52587890625e-05,0.829607306405,0.436866296357,37.9141099148,155
7.62939453125e-06,0.855018895028,0.44908387467,67.3342380372,215
