alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.158740651931,-0.0558644850856,0.00556390840704,1
0.001953125,0.414215625914,-0.239083152544,0.0178053108847,2
0.0009765625,0.490861222317,-0.439075917911,0.0249392057519,2
0.00048828125,0.555059830643,-0.288039955228,0.0378751175875,19
0.000244140625,0.661406566103,-0.00887987851202,0.0832366814195,33
0.0001220703125,0.729957683886,0.217438549427,0.133608006203,48
6.103515625e-05,0.767126437401,0.327270177234,0.195712859387,72
3.0517578125e-05,0.815029990855,0.490242135661,0.347872842092,124
1.52587890625e-05,0.845288037913,0.536424715414,0.54024475369,187
7.62939453125e-06,0.865345220794,0.455250099461,0.811637594302,290
3.81469726562e-06,0.881351292271,0.265701221497,1.29956901706,418
