alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.0078125,0.0510686332508,-0.563787452039,0.0454249139913,5
0.00390625,0.203552176373,0.0259856704708,0.198658640332,9
0.001953125,0.263473074214,0.259751376914,0.314816152089,12
0.0009765625,0.289779302962,0.333049204433,0.415874983924,18
0.00048828125,0.313192124528,0.472265172865,0.602529759828,35
0.000244140625,0.327608945431,0.52305679389,0.836479430045,60
0.0001220703125,0.354766444152,0.527437908982,1.73051321188,112
6.103515625e-05,0.388089623347,0.492567138848,3.95949995944,212
3.0517578125e-05,0.418808126344,0.415755279026,7.87075435707,297
1.52587890625e-05,0.437200228843,0.346046849054,12.6659504866,383
7.62939453125e-06,0.447179949287,0.329677041803,18.3101398093,511
