alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.353415359424,-0.160901727134,0.0713018132007,2
0.000244140625,0.475661155695,-0.379978615246,0.117010293888,2
0.0001220703125,0.527280760895,-0.417200257139,0.159150729053,10
6.103515625e-05,0.565049540607,-0.352044468609,0.218805660902,25
3.0517578125e-05,0.590551417059,-0.303484917415,0.303932629393,55
1.52587890625e-05,0.696624879011,0.0676497247963,1.0247295087,68
7.62939453125e-06,0.74234069136,0.236071909989,1.55294083518,84
3.81469726562e-06,0.785411160474,0.415190592003,2.63108096012,107
1.90734863281e-06,0.808770173866,0.444821483246,3.82520150829,147
9.53674316406e-07,0.836073343969,0.463829641606,6.6386235437,195
4.76837158203e-07,0.855748812246,0.410015756787,10.6434486309,261
