192.168.0.10_0,/tmp/tmp.wA6Mzwhrcg,/home/fyquah/fyp/prod/rundir/2018-06-15T01_22_09.164127Z,1.688s,1.623s,1.623s
192.168.0.11_0,/tmp/tmp.wA6Mzwhrcg,/home/fyquah/fyp/prod/rundir/2018-06-15T01_22_09.164127Z,1.694s,1.625s,1.624s
192.168.0.12_0,/tmp/tmp.wA6Mzwhrcg,/home/fyquah/fyp/prod/rundir/2018-06-15T01_22_09.164127Z,1.688s,1.625s,1.624s
