192.168.0.10_0,/tmp/tmp.yu5nSc9rOD,/home/fyquah/fyp/prod/rundir/2018-06-16T03_30_41.497662Z,4.526s,4.449s,4.449s
192.168.0.11_0,/tmp/tmp.yu5nSc9rOD,/home/fyquah/fyp/prod/rundir/2018-06-16T03_30_41.497662Z,4.522s,4.45s,4.45s
192.168.0.12_0,/tmp/tmp.yu5nSc9rOD,/home/fyquah/fyp/prod/rundir/2018-06-16T03_30_41.497662Z,4.52s,4.45s,4.45s
