192.168.0.10_0,/tmp/tmp.YMcZoR9bVZ,/home/fyquah/fyp/prod/rundir/2018-06-16T07_38_32.913647Z,4.567s,4.492s,4.501s
192.168.0.11_0,/tmp/tmp.YMcZoR9bVZ,/home/fyquah/fyp/prod/rundir/2018-06-16T07_38_32.913647Z,4.564s,4.492s,4.492s
192.168.0.12_0,/tmp/tmp.YMcZoR9bVZ,/home/fyquah/fyp/prod/rundir/2018-06-16T07_38_32.913647Z,4.564s,4.493s,4.492s
