alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.000244140625,0.0984344419144,-0.424530090525,0.0186581122908,7
0.0001220703125,0.168257249541,-0.412055378234,0.0413773974581,11
6.103515625e-05,0.193681090099,-0.407898256638,0.0591057485328,16
3.0517578125e-05,0.211269142904,-0.380149743053,0.0840729622334,24
1.52587890625e-05,0.243102061436,-0.287762187179,0.176688362779,38
7.62939453125e-06,0.283742043749,0.0785216847468,0.421411747386,54
3.81469726562e-06,0.320567132676,0.400949560137,0.825066282778,62
1.90734863281e-06,0.344353285741,0.455579272515,1.34031970022,89
9.53674316406e-07,0.362961850384,0.48011331861,2.16475747703,130
4.76837158203e-07,0.379619111066,0.475757600286,3.69389616924,188
2.38418579102e-07,0.398856954382,0.437599015837,7.25096393915,260
