alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.270998829574,0.00793239271707,1
0.001953125,0.461703667991,0.0168985873444,2
0.0009765625,0.538712636913,0.0246424707892,7
0.00048828125,0.608733132191,0.0391193371596,32
0.000244140625,0.717210492734,0.0815611298758,45
0.0001220703125,0.754695181857,0.110517983076,61
6.103515625e-05,0.801199238048,0.187552043607,99
3.0517578125e-05,0.838881322196,0.305784530573,168
1.52587890625e-05,0.863495319597,0.465288685529,265
7.62939453125e-06,0.880887774225,0.719291937429,386
