192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/quicksort/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.500000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T05_08_36.138197Z,13.86s,13.767s,13.762s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/quicksort/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.500000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T05_08_36.138197Z,13.861s,13.77s,13.768s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/quicksort/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.500000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T05_08_36.138197Z,13.861s,13.766s,13.768s
