192.168.0.10_0,/tmp/tmp.WoYPxQkFaV,/home/fyquah/fyp/prod/rundir/2018-06-15T00_25_50.604420Z,9.845s,9.78s,9.764s
192.168.0.11_0,/tmp/tmp.WoYPxQkFaV,/home/fyquah/fyp/prod/rundir/2018-06-15T00_25_50.604420Z,9.839s,9.777s,9.771s
192.168.0.12_0,/tmp/tmp.WoYPxQkFaV,/home/fyquah/fyp/prod/rundir/2018-06-15T00_25_50.604420Z,9.839s,9.777s,9.773s
