alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.175928667823,-0.0959838760518,0.0167478585158,8
0.000244140625,0.254662580588,0.228134638845,0.029738907019,12
0.0001220703125,0.287494610842,0.320581154103,0.040738822204,14
6.103515625e-05,0.309701233553,0.444605328189,0.0567313856499,27
3.0517578125e-05,0.325173160651,0.514555367427,0.0778271008991,45
1.52587890625e-05,0.348513307488,0.536589815466,0.146996341948,90
7.62939453125e-06,0.378591096799,0.513125157584,0.321934439682,186
3.81469726562e-06,0.412044704276,0.451577851307,0.693621823709,261
1.90734863281e-06,0.433198561957,0.38423285206,1.17062454803,365
9.53674316406e-07,0.444672372596,0.364990907564,1.72947256441,465
4.76837158203e-07,0.450105820563,0.340938257417,2.32494231952,634
