alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.260060172441,-0.0901302969072,0.00753749049966,2
0.001953125,0.461703667991,-0.320963546381,0.0168985873444,2
0.0009765625,0.538712935911,-0.39024462873,0.0246425122315,7
0.00048828125,0.608730235689,-0.219354411288,0.039118529434,31
0.000244140625,0.717207996659,0.114250184227,0.0815598030681,36
0.0001220703125,0.754694871641,0.246453224055,0.110517632939,61
6.103515625e-05,0.801191148357,0.388004765096,0.187534010088,104
3.0517578125e-05,0.838881607373,0.516973448849,0.305786086424,167
1.52587890625e-05,0.863498816705,0.493007188464,0.465309396726,265
7.62939453125e-06,0.880866610604,0.281082373108,0.718822848376,382
3.81469726562e-06,0.893904928775,0.255310387684,1.09607516661,572
