192.168.0.10_0,/tmp/tmp.ClpcqrRhG8,/home/fyquah/fyp/prod/rundir/2018-06-15T06_44_24.149272Z,14.323s,14.254s,14.251s
192.168.0.11_0,/tmp/tmp.ClpcqrRhG8,/home/fyquah/fyp/prod/rundir/2018-06-15T06_44_24.149272Z,14.325s,14.255s,14.252s
192.168.0.12_0,/tmp/tmp.ClpcqrRhG8,/home/fyquah/fyp/prod/rundir/2018-06-15T06_44_24.149272Z,14.325s,14.255s,14.253s
