alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.352714520728,-0.160192113015,0.0709531105096,2
0.000244140625,0.475485946021,-0.37939319419,0.116661591197,2
0.0001220703125,0.527114706432,-0.417371503011,0.158624001554,10
6.103515625e-05,0.564954618544,-0.352178740246,0.218124491455,25
3.0517578125e-05,0.590388075499,-0.303944607782,0.302550752075,54
1.52587890625e-05,0.696315558265,0.0663943098337,1.019767003,65
7.62939453125e-06,0.742185976001,0.235301696167,1.5468449198,84
3.81469726562e-06,0.785304320513,0.41491960457,2.6215880633,107
1.90734863281e-06,0.808692004965,0.445237859454,3.81133353219,148
9.53674316406e-07,0.835998104353,0.464078730124,6.61248501658,194
4.76837158203e-07,0.855710097679,0.410102797843,10.6087171197,261
