alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.000244140625,0.0923559486364,-0.423627230489,0.0179861759629,7
0.0001220703125,0.160432726402,-0.409647522465,0.040692300376,11
6.103515625e-05,0.185462047599,-0.404435642135,0.0586058583406,16
3.0517578125e-05,0.202495909964,-0.376404746656,0.0833772707306,24
1.52587890625e-05,0.233442198642,-0.286757004788,0.175746804331,39
7.62939453125e-06,0.272329836104,0.0701219142025,0.415563149238,49
3.81469726562e-06,0.309028040765,0.392423123955,0.829317816332,61
1.90734863281e-06,0.332680050792,0.445860139688,1.35499004056,88
9.53674316406e-07,0.351409141569,0.469478652682,2.20620136556,130
4.76837158203e-07,0.368256933455,0.463121714608,3.79509781479,190
2.38418579102e-07,0.38733836567,0.421887427826,7.40324607509,262
