192.168.0.10_0,/tmp/tmp.i0mi0MqDVA,/home/fyquah/fyp/prod/rundir/2018-06-14T18_50_05.730349Z,14.343s,14.251s,14.253s
192.168.0.11_0,/tmp/tmp.i0mi0MqDVA,/home/fyquah/fyp/prod/rundir/2018-06-14T18_50_05.730349Z,14.347s,14.252s,14.252s
192.168.0.12_0,/tmp/tmp.i0mi0MqDVA,/home/fyquah/fyp/prod/rundir/2018-06-14T18_50_05.730349Z,14.346s,14.252s,14.252s
