192.168.0.10_0,/tmp/tmp.5III2lh2Gm,/home/fyquah/fyp/prod/rundir/2018-06-14T10_31_37.422224Z,14.326s,14.254s,14.25s
192.168.0.11_0,/tmp/tmp.5III2lh2Gm,/home/fyquah/fyp/prod/rundir/2018-06-14T10_31_37.422224Z,14.321s,14.252s,14.251s
192.168.0.12_0,/tmp/tmp.5III2lh2Gm,/home/fyquah/fyp/prod/rundir/2018-06-14T10_31_37.422224Z,14.323s,14.252s,14.251s
