192.168.0.10_0,/tmp/tmp.yu5nSc9rOD,/home/fyquah/fyp/prod/rundir/2018-06-16T03_45_26.098585Z,7.358s,7.278s,7.277s
192.168.0.11_0,/tmp/tmp.yu5nSc9rOD,/home/fyquah/fyp/prod/rundir/2018-06-16T03_45_26.098585Z,7.356s,7.28s,7.278s
192.168.0.12_0,/tmp/tmp.yu5nSc9rOD,/home/fyquah/fyp/prod/rundir/2018-06-16T03_45_26.098585Z,7.356s,7.28s,7.295s
