192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/floats-in-functor/linear-general-reward-without-normalisation/decay-0.700000-ridge-0.300000-benefit-sigmoid_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-05-31T20_58_31.088960Z,4.437s,4.392s,4.393s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/floats-in-functor/linear-general-reward-without-normalisation/decay-0.700000-ridge-0.300000-benefit-sigmoid_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-05-31T20_58_31.088960Z,4.465s,4.393s,4.393s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/floats-in-functor/linear-general-reward-without-normalisation/decay-0.700000-ridge-0.300000-benefit-sigmoid_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-05-31T20_58_31.088960Z,4.465s,4.393s,4.392s
