192.168.0.10_0,/tmp/tmp.EGjJ5lpwSJ,/home/fyquah/fyp/prod/rundir/2018-06-13T15_27_24.745592Z,4.82s,4.749s,4.758s
192.168.0.11_0,/tmp/tmp.EGjJ5lpwSJ,/home/fyquah/fyp/prod/rundir/2018-06-13T15_27_24.745592Z,4.823s,4.747s,4.748s
192.168.0.12_0,/tmp/tmp.EGjJ5lpwSJ,/home/fyquah/fyp/prod/rundir/2018-06-13T15_27_24.745592Z,4.821s,4.747s,4.748s
