alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.207322163392,0.0856851835859,0.191365975158,9
0.001953125,0.270423083043,0.269978253678,0.310524204154,15
0.0009765625,0.297280735776,0.341871629211,0.412556256136,21
0.00048828125,0.322562209338,0.482640973777,0.609035301529,32
0.000244140625,0.336778338837,0.532446588115,0.837256150573,59
0.0001220703125,0.363366683619,0.539670467746,1.70322246195,115
6.103515625e-05,0.396401768464,0.502765533311,3.88735760068,208
3.0517578125e-05,0.427196227089,0.428840178712,7.76977888786,303
1.52587890625e-05,0.445504362585,0.361232607732,12.5121163627,373
7.62939453125e-06,0.455514810661,0.345556315898,18.1054583702,510
3.81469726562e-06,0.459843135289,0.316359583393,23.8661596778,683
