192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.005000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T02_49_05.803130Z,4.28s,4.208s,4.216s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.005000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T02_49_05.803130Z,4.284s,4.21s,4.208s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.005000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T02_49_05.803130Z,4.284s,4.208s,4.208s
