192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence-cps/linear-general-reward-without-normalisation/decay-1.000000-ridge-2.000000-benefit-linear_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T09_11_18.850151Z,14.327s,14.254s,14.254s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence-cps/linear-general-reward-without-normalisation/decay-1.000000-ridge-2.000000-benefit-linear_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T09_11_18.850151Z,14.328s,14.255s,14.253s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence-cps/linear-general-reward-without-normalisation/decay-1.000000-ridge-2.000000-benefit-linear_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T09_11_18.850151Z,14.348s,14.255s,14.253s
