192.168.0.10_0,/tmp/tmp.GJOkN7jk3x,/home/fyquah/fyp/prod/rundir/2018-06-16T04_33_49.005187Z,15.836s,14.618s,14.633s
192.168.0.11_0,/tmp/tmp.GJOkN7jk3x,/home/fyquah/fyp/prod/rundir/2018-06-16T04_33_49.005187Z,14.722s,14.62s,14.628s
192.168.0.12_0,/tmp/tmp.GJOkN7jk3x,/home/fyquah/fyp/prod/rundir/2018-06-16T04_33_49.005187Z,14.702s,14.62s,14.628s
