alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.249359737638,-0.0850733398674,0.00731281024252,2
0.001953125,0.449647250248,-0.307824470403,0.0166739070873,2
0.0009765625,0.526759985322,-0.371760145433,0.0244806975669,7
0.00048828125,0.598137688466,-0.206494286423,0.0393609487232,31
0.000244140625,0.708380964908,0.123928413013,0.0824379775938,35
0.0001220703125,0.746461298214,0.249049905322,0.112206229645,64
6.103515625e-05,0.795683914413,0.400671004293,0.193878349155,101
3.0517578125e-05,0.834212662963,0.526604478515,0.315547350376,170
1.52587890625e-05,0.859468397596,0.485634056019,0.480609099908,265
7.62939453125e-06,0.877546296705,0.291708080554,0.746654280964,391
3.81469726562e-06,0.890857763497,0.259851654369,1.13401304378,580
