192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T03_09_18.363759Z,4.283s,4.206s,4.206s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T03_09_18.363759Z,4.282s,4.207s,4.207s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T03_09_18.363759Z,4.277s,4.207s,4.207s
