192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-log_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T03_11_26.344699Z,4.293s,4.217s,4.217s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-log_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T03_11_26.344699Z,4.288s,4.216s,4.216s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/floats-in-functor/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-log_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T03_11_26.344699Z,4.292s,4.216s,4.216s
