192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-linear_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T14_08_41.059114Z,12.722s,12.652s,12.653s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-linear_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T14_08_41.059114Z,12.725s,12.65s,12.652s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.500000-benefit-linear_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T14_08_41.059114Z,12.725s,12.651s,12.652s
