192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.050000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T12_52_50.979088Z,12.074s,12s,11.997s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.050000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T12_52_50.979088Z,12.073s,12s,12.001s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence/linear-general-reward-without-normalisation/decay-0.400000-ridge-0.050000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T12_52_50.979088Z,12.073s,12.002s,12.001s
