192.168.0.10_0,/tmp/tmp.k8n0iFri7R,/home/fyquah/fyp/prod/rundir/2018-06-14T20_12_46.996617Z,4.523s,4.452s,4.457s
192.168.0.11_0,/tmp/tmp.k8n0iFri7R,/home/fyquah/fyp/prod/rundir/2018-06-14T20_12_46.996617Z,4.524s,4.45s,4.451s
192.168.0.12_0,/tmp/tmp.k8n0iFri7R,/home/fyquah/fyp/prod/rundir/2018-06-14T20_12_46.996617Z,4.524s,4.45s,4.45s
