2018-05-03 03:30:52.262877+01:00 Info fft | Loaded 1865 reward entries
2018-05-03 03:30:52.263191+01:00 Info fft | Loaded 3644 feature entries
2018-05-03 03:30:52.263196+01:00 Info fft | Loaded 1116 training examples
2018-05-03 03:30:52.263704+01:00 Info Loaded a total of 1116 training examples
2018-05-03 03:30:53.163 [32mINFO[0m : ((epoch 24)(training(((accuracy 0.83482714468629959)(loss 0.41362501705962418))))(validation(((accuracy 0.76646706586826352)(loss 0.47618267260045505))))(test(((accuracy 0.8035714285714286)(loss 0.42809556699517948)))))
2018-05-03 03:30:53.216 [32mINFO[0m : ((epoch 25)(training(((accuracy 0.81434058898847628)(loss 0.41186805135213272))))(validation(((accuracy 0.74251497005988021)(loss 0.47918634613442174))))(test(((accuracy 0.77976190476190477)(loss 0.43351776595809804)))))
2018-05-03 03:30:53.255 [32mINFO[0m : ((epoch 26)(training(((accuracy 0.83482714468629959)(loss 0.410018184096588))))(validation(((accuracy 0.76646706586826352)(loss 0.4736657545933905))))(test(((accuracy 0.8035714285714286)(loss 0.42589737766410318)))))
2018-05-03 03:30:53.290 [32mINFO[0m : ((epoch 27)(training(((accuracy 0.81562099871959026)(loss 0.40816426708681847))))(validation(((accuracy 0.74251497005988021)(loss 0.47651343378301525))))(test(((accuracy 0.77976190476190477)(loss 0.431224901288405)))))
2018-05-03 03:30:53.322 [32mINFO[0m : ((epoch 28)(training(((accuracy 0.83482714468629959)(loss 0.40667999514643677))))(validation(((accuracy 0.76047904191616766)(loss 0.47098394493380052))))(test(((accuracy 0.8035714285714286)(loss 0.42456641372924714)))))
2018-05-03 03:30:53.355 [32mINFO[0m : ((epoch 29)(training(((accuracy 0.81562099871959026)(loss 0.4048920142498687))))(validation(((accuracy 0.74251497005988021)(loss 0.47308400622094587))))(test(((accuracy 0.77976190476190477)(loss 0.42871912811393753)))))
2018-05-03 03:30:53.386 [32mINFO[0m : ((epoch 30)(training(((accuracy 0.83610755441741358)(loss 0.40339463047023549))))(validation(((accuracy 0.76047904191616766)(loss 0.47049807587363052))))(test(((accuracy 0.8035714285714286)(loss 0.42368629601182611)))))
2018-05-03 03:30:53.428 [32mINFO[0m : ((epoch 31)(training(((accuracy 0.81562099871959026)(loss 0.40200055557365832))))(validation(((accuracy 0.74251497005988021)(loss 0.47083172241298338))))(test(((accuracy 0.77976190476190477)(loss 0.42592509518847371)))))
2018-05-03 03:30:53.455 [32mINFO[0m : ((epoch 32)(training(((accuracy 0.83610755441741358)(loss 0.400670405217012))))(validation(((accuracy 0.76047904191616766)(loss 0.46887963416294121))))(test(((accuracy 0.8035714285714286)(loss 0.42265140987143013)))))
2018-05-03 03:30:53.476 [32mINFO[0m : ((epoch 33)(training(((accuracy 0.83610755441741358)(loss 0.39936003621206922))))(validation(((accuracy 0.76047904191616766)(loss 0.46808969361762959))))(test(((accuracy 0.8035714285714286)(loss 0.4232549420598693)))))
