2018-05-03 03:44:53.488614+01:00 Info kahan-sum | Loaded 19 reward entries
2018-05-03 03:44:53.488620+01:00 Info kahan-sum | Loaded 53 feature entries
2018-05-03 03:44:53.488623+01:00 Info kahan-sum | Loaded 53 training examples
2018-05-03 03:44:53.488989+01:00 Info Loaded a total of 53 training examples
2018-05-03 03:44:53.639 [32mINFO[0m : ((epoch 26)(training(((accuracy 1)(loss 0.26270411215656281))))(validation(((accuracy 0.875)(loss 0.43799740287889266))))(test(((accuracy 0.625)(loss 0.56122846760192058)))))
2018-05-03 03:44:53.642 [32mINFO[0m : ((epoch 27)(training(((accuracy 1)(loss 0.25117483849946343))))(validation(((accuracy 0.875)(loss 0.42547135523540458))))(test(((accuracy 0.625)(loss 0.55962333749699555)))))
2018-05-03 03:44:53.644 [32mINFO[0m : ((epoch 28)(training(((accuracy 1)(loss 0.23962265071849112))))(validation(((accuracy 0.875)(loss 0.41000195838481757))))(test(((accuracy 0.625)(loss 0.55385433875291479)))))
2018-05-03 03:44:53.646 [32mINFO[0m : ((epoch 29)(training(((accuracy 1)(loss 0.22976391075449512))))(validation(((accuracy 1)(loss 0.38126370976470475))))(test(((accuracy 0.875)(loss 0.53471597994791553)))))
2018-05-03 03:44:53.648 [32mINFO[0m : ((epoch 30)(training(((accuracy 1)(loss 0.21953328150724996))))(validation(((accuracy 0.875)(loss 0.38731759332927013))))(test(((accuracy 0.625)(loss 0.55158421122371826)))))
2018-05-03 03:44:53.650 [32mINFO[0m : ((epoch 31)(training(((accuracy 1)(loss 0.21050904635803039))))(validation(((accuracy 1)(loss 0.33954798421968163))))(test(((accuracy 0.875)(loss 0.51121790709507953)))))
2018-05-03 03:44:53.651 [32mINFO[0m : ((epoch 32)(training(((accuracy 1)(loss 0.19954836902462106))))(validation(((accuracy 1)(loss 0.35501600577980358))))(test(((accuracy 0.875)(loss 0.53645202338118314)))))
2018-05-03 03:44:53.653 [32mINFO[0m : ((epoch 33)(training(((accuracy 1)(loss 0.18972941168309498))))(validation(((accuracy 1)(loss 0.32746182424085657))))(test(((accuracy 0.875)(loss 0.51871494982437194)))))
2018-05-03 03:44:53.654 [32mINFO[0m : ((epoch 34)(training(((accuracy 1)(loss 0.180512666261326))))(validation(((accuracy 1)(loss 0.31978464672945428))))(test(((accuracy 0.875)(loss 0.5214768079947657)))))
2018-05-03 03:44:53.656 [32mINFO[0m : ((epoch 35)(training(((accuracy 1)(loss 0.172196296790306))))(validation(((accuracy 1)(loss 0.29770713506018942))))(test(((accuracy 0.875)(loss 0.50466269558844956)))))
2018-05-03 03:44:53.658 [32mINFO[0m : ((epoch 36)(training(((accuracy 1)(loss 0.16423021970606608))))(validation(((accuracy 1)(loss 0.30125011686543512))))(test(((accuracy 0.875)(loss 0.52108206491432107)))))
