2018-05-03 03:30:52.252316+01:00 Info lens | Loaded 1698 reward entries
2018-05-03 03:30:52.252582+01:00 Info lens | Loaded 3567 feature entries
2018-05-03 03:30:52.252591+01:00 Info lens | Loaded 1145 training examples
2018-05-03 03:30:52.253052+01:00 Info Loaded a total of 1145 training examples
2018-05-03 03:30:53.149 [32mINFO[0m : ((epoch 24)(training(((accuracy 0.81647940074906367)(loss 0.45106229751561483))))(validation(((accuracy 0.77906976744186052)(loss 0.48336614997009009))))(test(((accuracy 0.85465116279069764)(loss 0.44552668924145522)))))
2018-05-03 03:30:53.200 [32mINFO[0m : ((epoch 25)(training(((accuracy 0.82397003745318353)(loss 0.44589965966124728))))(validation(((accuracy 0.78488372093023251)(loss 0.47945533424653441))))(test(((accuracy 0.85465116279069764)(loss 0.44342996907280086)))))
2018-05-03 03:30:53.241 [32mINFO[0m : ((epoch 26)(training(((accuracy 0.81647940074906367)(loss 0.44123738541782748))))(validation(((accuracy 0.77906976744186052)(loss 0.47612044908768675))))(test(((accuracy 0.85465116279069764)(loss 0.43819303297695372)))))
2018-05-03 03:30:53.277 [32mINFO[0m : ((epoch 27)(training(((accuracy 0.82397003745318353)(loss 0.43659329783397377))))(validation(((accuracy 0.78488372093023251)(loss 0.47336577570780985))))(test(((accuracy 0.85465116279069764)(loss 0.43656332538235465)))))
2018-05-03 03:30:53.311 [32mINFO[0m : ((epoch 28)(training(((accuracy 0.81647940074906367)(loss 0.43267882238084121))))(validation(((accuracy 0.77906976744186052)(loss 0.4713578167849044))))(test(((accuracy 0.85465116279069764)(loss 0.43290752276402772)))))
2018-05-03 03:30:53.358 [32mINFO[0m : ((epoch 29)(training(((accuracy 0.81772784019975031)(loss 0.4285725682842394))))(validation(((accuracy 0.77906976744186052)(loss 0.4679746270867492))))(test(((accuracy 0.85465116279069764)(loss 0.43032053234766604)))))
2018-05-03 03:30:53.411 [32mINFO[0m : ((epoch 30)(training(((accuracy 0.82397003745318353)(loss 0.4250111512335869))))(validation(((accuracy 0.78488372093023251)(loss 0.46531822323521438))))(test(((accuracy 0.85465116279069764)(loss 0.4290696437502392)))))
2018-05-03 03:30:53.459 [32mINFO[0m : ((epoch 31)(training(((accuracy 0.82272159800249689)(loss 0.42172072147271716))))(validation(((accuracy 0.77906976744186052)(loss 0.46326361875260785))))(test(((accuracy 0.85465116279069764)(loss 0.42637027391074667)))))
2018-05-03 03:30:53.500 [32mINFO[0m : ((epoch 32)(training(((accuracy 0.818976279650437)(loss 0.41843634401595847))))(validation(((accuracy 0.78488372093023251)(loss 0.461594952756286))))(test(((accuracy 0.85465116279069764)(loss 0.42418540771078778)))))
2018-05-03 03:30:53.540 [32mINFO[0m : ((epoch 33)(training(((accuracy 0.82397003745318353)(loss 0.41521638595324012))))(validation(((accuracy 0.78488372093023251)(loss 0.45953579044747694))))(test(((accuracy 0.85465116279069764)(loss 0.422996030253735)))))
2018-05-03 03:30:53.585 [32mINFO[0m : ((epoch 34)(training(((accuracy 0.83395755305867669)(loss 0.41260197997369191))))(validation(((accuracy 0.79651162790697672)(loss 0.45943090067049752))))(test(((accuracy 0.86046511627906974)(loss 0.42052446649414316)))))
2018-05-03 03:30:53.622 [32mINFO[0m : ((epoch 35)(training(((accuracy 0.83021223470661676)(loss 0.40956497083071686))))(validation(((accuracy 0.77906976744186052)(loss 0.45590545963872736))))(test(((accuracy 0.84883720930232553)(loss 0.4201888983147003)))))
2018-05-03 03:30:53.661 [32mINFO[0m : ((epoch 36)(training(((accuracy 0.84019975031210992)(loss 0.40703484948429963))))(validation(((accuracy 0.79069767441860461)(loss 0.45563438506740389))))(test(((accuracy 0.85465116279069764)(loss 0.4182722920044793)))))
2018-05-03 03:30:53.702 [32mINFO[0m : ((epoch 37)(training(((accuracy 0.8314606741573034)(loss 0.40484616138904733))))(validation(((accuracy 0.77906976744186052)(loss 0.45445598869754594))))(test(((accuracy 0.84883720930232553)(loss 0.41778363316196787)))))
