2018-05-03 03:33:39.567145+01:00 Info sequence | Loaded 14618 reward entries
2018-05-03 03:33:39.570120+01:00 Info sequence | Loaded 22106 feature entries
2018-05-03 03:33:39.570194+01:00 Info sequence | Loaded 12068 training examples
2018-05-03 03:33:39.570798+01:00 Info Loaded a total of 12068 training examples
2018-05-03 03:34:28.620 [32mINFO[0m : ((epoch 24)(training(((accuracy 0.82869657866698232)(loss 0.32821520100551449))))(validation(((accuracy 0.80773480662983421)(loss 0.35194751412184661))))(test(((accuracy 0.81778023191606852)(loss 0.33032085185792581)))))
2018-05-03 03:34:30.632 [32mINFO[0m : ((epoch 25)(training(((accuracy 0.82893334911803007)(loss 0.32587563288488797))))(validation(((accuracy 0.80773480662983421)(loss 0.34985995614055376))))(test(((accuracy 0.81778023191606852)(loss 0.32831099876814684)))))
2018-05-03 03:34:32.603 [32mINFO[0m : ((epoch 26)(training(((accuracy 0.8288149638925062)(loss 0.32321197554232428))))(validation(((accuracy 0.80828729281767953)(loss 0.34711321683518725))))(test(((accuracy 0.81778023191606852)(loss 0.32589705381091888)))))
2018-05-03 03:34:34.626 [32mINFO[0m : ((epoch 27)(training(((accuracy 0.82869657866698232)(loss 0.32071360616399675))))(validation(((accuracy 0.80828729281767953)(loss 0.34470134875665664))))(test(((accuracy 0.81778023191606852)(loss 0.32354418820566305)))))
2018-05-03 03:34:36.624 [32mINFO[0m : ((epoch 28)(training(((accuracy 0.82869657866698232)(loss 0.31872280462998775))))(validation(((accuracy 0.80828729281767953)(loss 0.34299453103436806))))(test(((accuracy 0.81778023191606852)(loss 0.32185575998516158)))))
2018-05-03 03:34:38.696 [32mINFO[0m : ((epoch 29)(training(((accuracy 0.84621759204451286)(loss 0.31678028388918483))))(validation(((accuracy 0.82320441988950277)(loss 0.3407861063312233))))(test(((accuracy 0.827167310877968)(loss 0.31985894197938725)))))
2018-05-03 03:34:40.669 [32mINFO[0m : ((epoch 30)(training(((accuracy 0.82869657866698232)(loss 0.31434287310285908))))(validation(((accuracy 0.80828729281767953)(loss 0.33860824740749584))))(test(((accuracy 0.81778023191606852)(loss 0.31783732213722438)))))
2018-05-03 03:34:42.652 [32mINFO[0m : ((epoch 31)(training(((accuracy 0.82869657866698232)(loss 0.31218195921792746))))(validation(((accuracy 0.80828729281767953)(loss 0.33668195944463308))))(test(((accuracy 0.81778023191606852)(loss 0.31585712585261638)))))
2018-05-03 03:34:44.642 [32mINFO[0m : ((epoch 32)(training(((accuracy 0.85284716467384869)(loss 0.31027172567521255))))(validation(((accuracy 0.83480662983425413)(loss 0.33452897453073105))))(test(((accuracy 0.83765875207067919)(loss 0.31419854269528624)))))
2018-05-03 03:34:46.681 [32mINFO[0m : ((epoch 33)(training(((accuracy 0.85284716467384869)(loss 0.3085292854934375))))(validation(((accuracy 0.83480662983425413)(loss 0.33324031447846697))))(test(((accuracy 0.83765875207067919)(loss 0.31245015972814283)))))
2018-05-03 03:34:48.626 [32mINFO[0m : ((epoch 34)(training(((accuracy 0.85284716467384869)(loss 0.30654001271509518))))(validation(((accuracy 0.83480662983425413)(loss 0.33108109326540847))))(test(((accuracy 0.83765875207067919)(loss 0.31071097448389645)))))
2018-05-03 03:34:50.671 [32mINFO[0m : ((epoch 35)(training(((accuracy 0.85284716467384869)(loss 0.30460882783808896))))(validation(((accuracy 0.83535911602209945)(loss 0.329203896064733))))(test(((accuracy 0.83765875207067919)(loss 0.30896179330370671)))))
2018-05-03 03:34:52.694 [32mINFO[0m : ((epoch 36)(training(((accuracy 0.86918432579614069)(loss 0.30302017718518232))))(validation(((accuracy 0.84861878453038675)(loss 0.32778422059151663))))(test(((accuracy 0.85311982330204306)(loss 0.30763557445998863)))))
2018-05-03 03:34:54.707 [32mINFO[0m : ((epoch 37)(training(((accuracy 0.86930271102166445)(loss 0.30131008844113827))))(validation(((accuracy 0.84917127071823206)(loss 0.32616992034924341))))(test(((accuracy 0.85311982330204306)(loss 0.3059513360773376)))))
2018-05-03 03:34:56.686 [32mINFO[0m : ((epoch 38)(training(((accuracy 0.86918432579614069)(loss 0.29944293713057973))))(validation(((accuracy 0.84861878453038675)(loss 0.32426192023632816))))(test(((accuracy 0.85311982330204306)(loss 0.30432031404400972)))))
2018-05-03 03:34:58.695 [32mINFO[0m : ((epoch 39)(training(((accuracy 0.86918432579614069)(loss 0.29780044582778414))))(validation(((accuracy 0.84861878453038675)(loss 0.32287005599289892))))(test(((accuracy 0.85311982330204306)(loss 0.30291657182306525)))))
2018-05-03 03:35:00.669 [32mINFO[0m : ((epoch 40)(training(((accuracy 0.87107848940452226)(loss 0.29622265110325796))))(validation(((accuracy 0.85248618784530383)(loss 0.3211494024769046))))(test(((accuracy 0.85808945334069575)(loss 0.301443933597018)))))
2018-05-03 03:35:02.636 [32mINFO[0m : ((epoch 41)(training(((accuracy 0.87119687463004614)(loss 0.29482302518518705))))(validation(((accuracy 0.85303867403314915)(loss 0.32020624879929066))))(test(((accuracy 0.85808945334069575)(loss 0.30018449328801855)))))
2018-05-03 03:35:04.607 [32mINFO[0m : ((epoch 42)(training(((accuracy 0.87107848940452226)(loss 0.29316334458668653))))(validation(((accuracy 0.85248618784530383)(loss 0.31819653904814638))))(test(((accuracy 0.85808945334069575)(loss 0.29865311571955644)))))
