192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/quicksort/linear-general-reward-without-normalisation/decay-0.997000-ridge-0.007000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-01T14_36_51.113745Z,15.457s,15.369s,15.371s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/quicksort/linear-general-reward-without-normalisation/decay-0.997000-ridge-0.007000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-01T14_36_51.113745Z,15.458s,15.38s,15.365s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce/quicksort/linear-general-reward-without-normalisation/decay-0.997000-ridge-0.007000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-01T14_36_51.113745Z,15.458s,15.362s,15.365s
