alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.364820269738,-0.168324369262,0.0727060648078,2
0.000244140625,0.487893692315,-0.396153416851,0.118414545495,2
0.0001220703125,0.53970990414,-0.433994046323,0.160435288813,8
6.103515625e-05,0.577699419812,-0.367442605523,0.220063657811,24
3.0517578125e-05,0.602558484178,-0.316230077598,0.302154382491,52
1.52587890625e-05,0.703125040297,0.0468525840901,0.985369608438,69
7.62939453125e-06,0.75077541465,0.23581005538,1.52872326292,80
3.81469726562e-06,0.79154597573,0.403009438672,2.55253518287,112
1.90734863281e-06,0.814411962991,0.436824043069,3.70275296731,148
9.53674316406e-07,0.840856946242,0.452637487452,6.41716740375,198
4.76837158203e-07,0.860180262697,0.400450962772,10.3247546532,258
