192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/lens/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.005000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T06_50_58.541543Z,4.527s,4.449s,4.449s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/lens/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.005000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T06_50_58.541543Z,4.525s,4.45s,4.45s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/lens/linear-general-reward-without-normalisation/decay-0.900000-ridge-0.005000-benefit-log_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T06_50_58.541543Z,4.525s,4.449s,4.45s
