192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence-cps/linear-general-reward-without-normalisation/decay-1.000000-ridge-0.005000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T08_34_04.092242Z,14.338s,14.25s,14.251s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence-cps/linear-general-reward-without-normalisation/decay-1.000000-ridge-0.005000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T08_34_04.092242Z,14.325s,14.251s,14.25s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out-v0-reproduce-relabel/sequence-cps/linear-general-reward-without-normalisation/decay-1.000000-ridge-0.005000-benefit-linear_speedup_over_baseline/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-06-10T08_34_04.092242Z,14.341s,14.251s,14.25s
