192.168.0.10_0,/tmp/tmp.hE8hdCrNky,/home/fyquah/fyp/prod/rundir/2018-05-23T01_04_47.951447Z,14.329s,14.256s,14.257s,14.255s,14.255s,14.254s
192.168.0.11_0,/tmp/tmp.hE8hdCrNky,/home/fyquah/fyp/prod/rundir/2018-05-23T01_04_47.951447Z,14.326s,14.254s,14.254s,14.256s,14.254s,14.257s
192.168.0.12_0,/tmp/tmp.hE8hdCrNky,/home/fyquah/fyp/prod/rundir/2018-05-23T01_04_47.951447Z,14.324s,14.255s,14.254s,14.256s,14.256s,14.254s
