192.168.0.10_0,/home/fyquah/fyp/worker-dispatcher/analysis/out/floats-in-functor/linear-general-reward-without-normalisation/decay-0.997000-ridge-0.007000-benefit-log_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-04-02T13_14_17.087007Z,4.282s,4.209s
192.168.0.11_0,/home/fyquah/fyp/worker-dispatcher/analysis/out/floats-in-functor/linear-general-reward-without-normalisation/decay-0.997000-ridge-0.007000-benefit-log_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-04-02T13_14_17.087007Z,4.279s,4.208s
192.168.0.12_0,/home/fyquah/fyp/worker-dispatcher/analysis/out/floats-in-functor/linear-general-reward-without-normalisation/decay-0.997000-ridge-0.007000-benefit-log_speedup_over_mean/optimal.sexp,/home/fyquah/fyp/prod/rundir/2018-04-02T13_14_17.087007Z,4.279s,4.208s
