192.168.0.10_0,/tmp/tmp.ivOSOMuHfb,/home/fyquah/fyp/prod/rundir/2018-06-15T02_31_32.048295Z,14.326s,14.253s,14.254s
192.168.0.11_0,/tmp/tmp.ivOSOMuHfb,/home/fyquah/fyp/prod/rundir/2018-06-15T02_31_32.048295Z,14.328s,14.255s,14.253s
192.168.0.12_0,/tmp/tmp.ivOSOMuHfb,/home/fyquah/fyp/prod/rundir/2018-06-15T02_31_32.048295Z,14.328s,14.255s,14.253s
