alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.000244140625,0.0960892373047,0.0199914157147,6
0.0001220703125,0.163248583384,0.0422932151713,7
6.103515625e-05,0.185323717958,0.0582402306269,11
3.0517578125e-05,0.202372683941,0.082807849921,20
1.52587890625e-05,0.233176113261,0.174003853579,41
7.62939453125e-06,0.272037536652,0.411622109395,46
3.81469726562e-06,0.308812473107,0.822657579268,64
1.90734863281e-06,0.332637267057,1.34885869989,79
9.53674316406e-07,0.351288579838,2.1902114716,130
4.76837158203e-07,0.368147443673,3.76689358805,189
2.38418579102e-07,0.387248833122,7.35151173967,263
