alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00048828125,0.364820269738,-0.168324369262,0.0727060648078,2
0.000244140625,0.487893692315,-0.396153416851,0.118414545495,2
0.0001220703125,0.539709660595,-0.433993161174,0.160435017459,8
6.103515625e-05,0.57769856592,-0.367476970447,0.220061753288,24
3.0517578125e-05,0.602559850565,-0.316221822545,0.302160474395,52
1.52587890625e-05,0.70316122446,0.0470148069137,0.985692458892,67
7.62939453125e-06,0.750775154852,0.23581738557,1.52871889229,80
3.81469726562e-06,0.791545944656,0.403009574906,2.55253411839,112
1.90734863281e-06,0.814412272678,0.436831418324,3.70278671867,148
9.53674316406e-07,0.840853116938,0.453174960944,6.41573697741,201
4.76837158203e-07,0.860179311863,0.40045860077,10.3247404343,258
