alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.00390625,0.119136130131,-0.0456804616732,0.00388378372766,2
0.001953125,0.426472657413,-0.25018628643,0.0181515734621,2
0.0009765625,0.503306789234,-0.458325377205,0.0252854683293,2
0.00048828125,0.566948821855,-0.303994209126,0.0380575713933,19
0.000244140625,0.668098443912,-0.0325980297533,0.0809874340816,34
0.0001220703125,0.739060137461,0.21406952716,0.132902708619,41
6.103515625e-05,0.773342250082,0.312576113841,0.189492917659,68
3.0517578125e-05,0.820326903825,0.480361508881,0.338547862207,122
1.52587890625e-05,0.84975109073,0.529413130854,0.524849276025,183
7.62939453125e-06,0.869314561701,0.451476141846,0.78788260121,288
3.81469726562e-06,0.884648910905,0.252463181756,1.25415955589,413
