alpha,r_squared,r_squared_validation,sum(abs(w)),sum(abs(w) > 0.0)
0.03125,0.358137356546,-0.16888818895,0.105361755552,2
0.015625,0.499376630383,-0.431368802934,0.18025053031,2
0.0078125,0.572728390907,-0.413558498577,0.263726130606,9
0.00390625,0.651528831006,-0.194098767259,0.448871353172,39
0.001953125,0.743623532709,0.122255633943,0.841761856167,36
0.0009765625,0.776393307773,0.233322943419,1.13811601452,67
0.00048828125,0.821734531059,0.387900050116,1.98051243633,112
0.000244140625,0.854034287446,0.508282773,3.13825800668,175
0.0001220703125,0.875214425074,0.433708216247,4.73643894492,279
6.103515625e-05,0.890274326553,0.312293989048,7.32985147495,416
3.0517578125e-05,0.901599702293,0.272048125494,10.9856343032,614
