192.168.0.10_0,/tmp/tmp.VKatQ4ksak,/home/fyquah/fyp/prod/rundir/2018-06-16T09_04_47.111546Z,9.438s,9.411s,9.353s
192.168.0.11_0,/tmp/tmp.VKatQ4ksak,/home/fyquah/fyp/prod/rundir/2018-06-16T09_04_47.111546Z,9.428s,9.363s,9.352s
192.168.0.12_0,/tmp/tmp.VKatQ4ksak,/home/fyquah/fyp/prod/rundir/2018-06-16T09_04_47.111546Z,9.428s,9.363s,9.351s
