alpha,r_squared,sum(abs(w)),sum(abs(w) > 0.0)
0.03125,0.36342010428,0.106905007426,2
0.015625,0.504137464452,0.181793782184,2
0.0078125,0.577284471348,0.265327030526,9
0.00390625,0.655291461552,0.449153469614,38
0.001953125,0.74692899384,0.842149604285,36
0.0009765625,0.779315014853,1.13562845538,68
0.00048828125,0.823620382506,1.96316068368,112
0.000244140625,0.855705225983,3.11680863124,177
0.0001220703125,0.876606531299,4.69785219182,278
6.103515625e-05,0.891361997775,7.24888632084,419
3.0517578125e-05,0.902647579581,10.8995176827,609
