192.168.0.10_0,/tmp/tmp.PynTHI96vI,/home/fyquah/fyp/prod/rundir/2018-06-15T05_31_08.996662Z,12.711s,12.641s,12.642s
192.168.0.11_0,/tmp/tmp.PynTHI96vI,/home/fyquah/fyp/prod/rundir/2018-06-15T05_31_08.996662Z,12.718s,12.643s,12.643s
192.168.0.12_0,/tmp/tmp.PynTHI96vI,/home/fyquah/fyp/prod/rundir/2018-06-15T05_31_08.996662Z,12.712s,12.643s,12.643s
