192.168.0.10_0,/tmp/tmp.dGRxw5rQEp,/home/fyquah/fyp/prod/rundir/2018-06-15T03_13_11.494297Z,12.72s,12.643s,12.644s
192.168.0.11_0,/tmp/tmp.dGRxw5rQEp,/home/fyquah/fyp/prod/rundir/2018-06-15T03_13_11.494297Z,12.736s,12.644s,12.642s
192.168.0.12_0,/tmp/tmp.dGRxw5rQEp,/home/fyquah/fyp/prod/rundir/2018-06-15T03_13_11.494297Z,12.712s,12.644s,12.642s
